cast,country,Year,Quarter,Month,Day,description,duration,director,listed_in,rating,release_year,show_id,title,type
"Keith David, Bryan Batt, Alexandria Deberry, Bill Martin Williams, Martin Bats Bradford, Kendrick Cross, Jasmine Akakpo, Kedrick Brown",United States,2018,Qtr 4,October,10,Buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance.,110 min,"Rusty Cundieff, Darin Scott","Cult Movies, Horror Movies, Independent Movies",R,2018,s5972,Tales From the Hood 2,Movie
"Keith Lucas, Kenny Lucas",United States,2017,Qtr 2,April,18,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.",50 min,Jay Chapman,Stand-Up Comedy,TV-MA,2017,s3800,Lucas Brothers: On Drugs,Movie
Keith Richards,United States,2015,Qtr 3,September,18,"In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today.",82 min,Morgan Neville,"Documentaries, Music & Musicals",TV-14,2015,s3333,Keith Richards: Under the Influence,Movie
"Kellan Lutz, Jess Weixler, Jesse Williams, Jamie Bamber, LucÃ­a Guerrero, Fredric Lehne","United States, Spain",2017,Qtr 4,October,15,"Two corporate spies with a $5 million haul for selling secrets are held hostage by a thief, triggering a game of cat and mouse to gain the upper hand.",84 min,Martin Rosete,Thrillers,R,2016,s4175,Money,Movie
"Kelli Berglund, Emily Morris, Terry Rogers, Jess Kuss, Jo Stone, Elysia Markou, Daisy Anderson, Ruth Natalie Fallon, Henry Turczynowicz, Martha Lott",Australia,2018,Qtr 3,July,15,"After moving to Australia, an American teen convinces her new friends to form a cheer squad and take on their biggest rivals in competition.",88 min,Clay Glen,"Children & Family Movies, Dramas, International Movies",TV-G,2018,s2463,Going for Gold,Movie
"Kelli Berglund, Lili Karamalikis, Tess Fowler, Emily Morris, Peta Shannon, Adam Tuominen, Caetlyn Collins, Jack Tomich, Isabelle Andary-Geslin, Rachel D'Sena",Australia,2017,Qtr 3,August,1,A teenager who gave up her spot in an elite U.S. gymnastics program when her family moved to Australia enters a competition to help a new friend.,97 min,Clay Glen,"Children & Family Movies, Dramas, Sports Movies",TV-Y,2016,s5076,Raising the Bar,Movie
"Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos, Reid Miller, Tyler Christopher, Casimere Jollette, Christina Cox, Texas Battle, Harvey Guillen",United States,2018,Qtr 4,December,15,"Venturing into the woods, high schooler James discovers an intelligent robot that he must save from the hands of a businessman with an evil scheme.",90 min,Sean Olson,"Children & Family Movies, Sci-Fi & Fantasy",TV-PG,2018,s2086,F.R.E.D.I.,Movie
"Kelly Noonan, Deepak Chopra, Michael Beckwith, Joe Dispenza, Dr. Jeffrey Thompson, Gregg Braden, Joan Borysenko, Marianne Williamson",United States,2019,Qtr 1,February,1,"Stories from spiritual leaders, physicians and those with chronic illnesses reveal the powerful connection between the human psyche and physical health.",107 min,Kelly Noonan,Documentaries,TV-14,2017,s2675,Heal,Movie
"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain, Kira Tozer",United States,2017,Qtr 4,October,1,"A princess with a predictable life finds herself transformed by a magical butterfly's kiss into Super Sparkle, a crime-fighting superhero.",74 min,Zeke Norton,Children & Family Movies,TV-Y,2015,s739,Barbie in Princess Power,Movie
"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton, Michael Dobson, Brynna Drummond, Rachel Harrison, Alessandro Juliani, Peter Kelamis, Omari Newton, Ingrid Nilson, Nicole Oliver, Shaun Smyth, Kira Tozer",United States,2017,Qtr 4,October,1,"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences.",83 min,Karen J. Lloyd,Children & Family Movies,TV-Y,2015,s740,Barbie in Rock 'N Royals,Movie
"Kelly Sheridan, Jennifer Waris, Ashleigh Ball, Tiffany Kathryn, Ellie King, Peter Kelamis, Jonathan Holmes, Allison Warnyca, Christopher Gaze, Lauren Lavoie",United States,2017,Qtr 4,October,1,"Barbie stars as a princess who would rather sing and dance than be a royal. When a famous pop star visits the kingdom, they decide to switch places.",75 min,Ezekiel Norton,Children & Family Movies,TV-Y,2012,s747,Barbie: The Princess & the Popstar,Movie
"Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Peter Mel, Nakia Burrise, Maryke Hendrikse, Emma Pierson, Ciara Janson, Garry Chalk, Nicole Oliver",United States,2017,Qtr 4,October,1,"Surf champ Merliah discovers she's actually a mermaid in a girl's body. With the help of a dolphin, Merliah must rescue her mom, the Queen of Oceana.",74 min,Adam Wood,Children & Family Movies,TV-Y,2010,s738,Barbie in A Mermaid Tale,Movie
"Kelly Sheridan, Kazumi Evans, Claire Corlett, Ashlyn Drummond, Alex Kelly, Tabitha St. Germain, Shannon Chan-Kent",United States,2017,Qtr 4,October,1,"Barbie and her sisters set off on a Swiss adventure to the majestic Alps, where they're excited to spend the summer at a fun-filled riding academy!",74 min,Kyran Kelly,Children & Family Movies,TV-Y,2013,s734,Barbie & Her Sisters in a Pony Tale,Movie
"Kelsey Grammer, Tamsin Greig, John Michael Higgins, Mathew Horne, Pearce Quigley, Togo Igawa, Sonya Cassidy, Julie Dray, Danny Morgan, Andrew Sachs",United Kingdom,2020,Qtr 1,January,1,Bank chairman Charles Bunbury â€“ who knows next to nothing about banking â€“ fights to save both his company and his marriage from disaster.,105 min,Vadim Jean,"Comedies, International Movies",TV-PG,2014,s1092,Breaking the Bank,Movie
"Ken Foree, Katarina ÄŒas, Dragan MiÄ‡anoviÄ‡, Monte Markham, Denis MuriÄ‡, Miroljub LeÅ¡o, Sonja VukiÄ‡eviÄ‡, Ratko TurÄinoviÄ‡, Mick Garris","Serbia, South Korea, Slovenia",2018,Qtr 1,February,26,"When a team of special agents is sent to recover the wreckage of a downed satellite in Serbia, their mission takes a horrifying turn.",92 min,Dejan ZeÄeviÄ‡,"Horror Movies, Independent Movies, Sci-Fi & Fantasy",TV-MA,2016,s6821,The Rift: The Dark Side of the Moon,Movie
Ken Jeong,United States,2019,Qtr 1,February,14,"In his first-ever stand-up special, Ken Jeong pays tribute to his wife and shares stories about Hollywood and how ""The Hangover"" saved his life.",62 min,Jon M. Chu,Stand-Up Comedy,TV-MA,2019,s3338,"Ken Jeong: You Complete Me, Ho",Movie
"Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn",United States,2020,Qtr 3,August,1,"In major debt to a loan shark, a nightclub owner who's entered in a celebrity death pool tries to murder a famous figure for half a million dollars.",80 min,Darren Grant,Comedies,R,2017,s3392,Killing Hasselhoff,Movie
"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",United States,2011,Qtr 4,October,1,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",95 min,Larry Elikann,Dramas,TV-14,1988,s233,A Stoning in Fulham County,Movie
"Kenan Thompson, Kel Mitchell, Abe Vigoda, Dan Schneider, Shar Jackson, Jan Schweiterman, Linda Cardellini, Sinbad, Ron Lester, Josh Server, Ginny Schreiber",United States,2021,Qtr 1,January,1,"Working at a neighborhood fast-food joint, two teens try to save the restaurant when a giant burger franchise fires up the competition.",96 min,Brian Robbins,"Children & Family Movies, Comedies",PG,1997,s2477,Good Burger,Movie
"Kendall Ryan Sanders, Noah Centineo, Nathan Gamble, Kristen Johnston, Leigh-Allyn Baker, Christian Hutcherson, Shelby Wulfert, Steve Daron, Kalani Hilliker, Maddy Curley, George Hamilton",United States,2019,Qtr 3,July,1,"When two college roommates develop a groundbreaking hookup app, casual affairs â€“ and complications â€“ soon run rampant on campus.",94 min,Ann Deborah Fishman,Comedies,TV-14,2018,s5942,Swiped,Movie
"Kendall Schmidt, James Maslow, Carlos PenaVega, Logan Henderson, Ciara Bravo, Challen Cates, Tanya Chisholm, Stephen Kramer Glickman, Trevor Devall, Christopher Shyer","United States, Canada",2019,Qtr 4,November,2,"Big Time Rush heads to London for their first world tour, but when the boys' bags are switched, they get mixed up in a mission to save the world.",68 min,Savage Steve Holland,"Children & Family Movies, Comedies, Music & Musicals",TV-PG,2012,s910,Big Time Movie,Movie
"Kenjiro Yamashita, Kanta Sato, Taiki Sato, Masayasu Yagi, Kousei Amano, Miu Arai, Taro Suruga, Yuko Fueki, Tomoki Hirose, Ryo Matsuda, Masaru Mizuno, Shunsuke Tanaka, Fumihiko Tachiki, Eri Murakawa, Katsuya Kobayashi",Japan,2020,Qtr 3,September,20,"Dan, Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort.",102 min,Norihisa Hiranuma,"Dramas, International Movies",TV-PG,2018,s1887,DTC Yukemuri Junjo Hen From High & Low,Movie
"Kenn Michael, Vince Staples, Dino Andrade, Michael Chiklis, Giancarlo Esposito, Jorge Gutierrez, Dascha Polanco, RZA, Danny Trejo, Antonio Alvarez","France, Japan",2019,Qtr 4,December,25,Mysterious goons chase teenage slacker Angelino through chaotic Dark Meat City as he uncovers secret powers that could be the key to saving the world.,95 min,"Shojiro Nishimi, Guillaume Renard","Action & Adventure, Comedies, International Movies",R,2017,s4061,MFKZ,Movie
"Kennedy Lea Slocum, Corey Fogelmanis, Alexa Mansour, Peyton Clark, Sheryl Lee, Sherri Saum, Eric Stanton Betts, Paris Berelc, Pedro Correa, Alissa Latow",United States,2019,Qtr 1,February,15,"After a series of strange deaths, a high school reporter tries to pin down the killer who's targeting students eligible for a prestigious scholarship.",86 min,Danny J. Boyle,"Dramas, Thrillers",TV-14,2018,s1657,Deadly Scholars,Movie
"Kenny Bee, Cherie Chung, Chan Pak-cheung, Rosamund Kwan, Maggie Cheung",Hong Kong,2018,Qtr 3,August,31,"Two young buddies seek love in Hawaii, and upon returning home in disappointment, soon entangle themselves in a messy identity swap.",93 min,Wong Jing,"Comedies, International Movies, Romantic Movies",TV-14,1984,s4972,Prince Charming,Movie
"Kenny Lin, Peter Ho, Jiang Mengjie, Jiang Yiyan, Paw Hee Ching","China, Hong Kong",2017,Qtr 2,June,10,"Haunted by the past, a master swordsman masks his identity to work anonymously as a janitor in a brothel, setting in motion a violent chain of events.",108 min,Derek Yee,"Action & Adventure, Dramas, International Movies",TV-MA,2016,s5947,Sword Master,Movie
Kenny Sebastian,India,2020,Qtr 2,May,29,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.",68 min,Angshuman Ghosh,Stand-Up Comedy,TV-MA,2020,s3340,Kenny Sebastian: The Most Interesting Person in the Room,Movie
"Kent Osborne, Dylan Sprouse, Rae Gray, Alycia Delmore, Robert Longstreet, Chris Bauer, Randall Park, Mitchell Edwards, Victoria Zeutzius, Leslie Thurston, Matthew J. Evans",United States,2018,Qtr 1,February,19,An intelligent but intense honor student traumatizes his high school teacher and mentor when he doesn't get the grade he believes he deserves.,87 min,Benjamin Arfmann,Thrillers,TV-14,2017,s1783,Dismissed,Movie
"Kento Yamazaki, Mackenyu, Mei Nagano, Mamoru Miyano, Maaya Sakamoto, Yuki Kaji, Kenjiro Tsuda, Koichi Yamadera, Masatoh Ibu, Tsuyoshi Muro",Japan,2020,Qtr 1,January,16,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,107 min,Yoshiyuki Momose,"Action & Adventure, Anime Features, Children & Family Movies",TV-14,2019,s4481,NiNoKuni,Movie
"Keo Woolford, Drea Castro, Emilio Rivera, Rorke Denver, Jason Cottle, Ailsa Marshall, Alex Veadov, Dave, Roselyn Sanchez, Thomas Rosales Jr., Nestor Serrano, Gonzalo Menendez",United States,2020,Qtr 2,June,1,An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.,110 min,"Mike McCoy, Scott Waugh",Action & Adventure,R,2012,s299,Act of Valor,Movie
"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2020,Qtr 2,June,22,A couple has trouble convincing friends and neighbors that an alien is entering their house each night to terrorize their children.,97 min,Scott Stewart,"Horror Movies, Sci-Fi & Fantasy",PG-13,2013,s1619,Dark Skies,Movie
"Kerry Washington, Steven Pasquale, Jeremy Jordan, Eugene Lee",United States,2019,Qtr 4,November,1,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,90 min,Kenny Leon,Dramas,TV-MA,2019,s475,American Son,Movie
"Kery James, Jammeh Diangana, ChloÃ© Jouannet, Bakary Diombera",France,2019,Qtr 4,October,13,"Three brothers â€“ a gangster, a scholar and an impressionable teen â€“ learn hard lessons in the gritty suburbs while searching for the means to survive.",96 min,"LeÃ¯la Sy, Kery James","Dramas, International Movies",TV-MA,2019,s5842,Street Flow,Movie
"Kett Thantup, Savika Chaiyadej, Sura Theerakon, Chaleumpol Tikumpornteerawong, Yarichada Wattanawongsri, Phoomjai Tangsanga, Warot Pitakanonda, Saowaluck Siriaran",Thailand,2018,Qtr 3,July,25,Five teenagers on the lam hide out in an empty train. Little do they realize that the train is inhabited by ghosts on their way to final judgment.,88 min,Sukum Maetawanitch,"Horror Movies, International Movies",TV-MA,2007,s7181,Train of the Dead,Movie
"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Jack Angel, Danny Mann, Robbie Rist",United States,2018,Qtr 2,April,1,"Balto, who is half wolf and half dog, endures the taunts of disapproving humans as he guides a precious cargo of medicine through the Alaskan winter.",78 min,Simon Wells,"Children & Family Movies, Dramas",G,1995,s709,Balto,Movie
"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire, Robert Jayne, Charlotte Stewart, Tony Genaro, Ariana Richards, Richard Marcus, Victor Wong, Bibi Besch",United States,2020,Qtr 1,January,1,"After a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground.",96 min,Ron Underwood,"Comedies, Cult Movies, Horror Movies",PG-13,1990,s7208,Tremors,Movie
"Kevin Bacon, James Freedson-Jackson, Hays Wellford, Camryn Manheim, Shea Whigham, Sean Hartley, Kyra Sedgwick, Loi Nguyen",United States,2019,Qtr 2,June,16,Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officerâ€™s cruiser.,88 min,Jon Watts,Thrillers,R,2015,s1500,Cop Car,Movie
"Kevin Bacon, Radha Mitchell, David Mazouz, Lucy Fry, Matt Walsh, Jennifer Morrison, Parker Mack, Paul Reiser, Ming-Na Wen, Tara Lynne Barr",United States,2020,Qtr 2,June,16,"After bringing home a set of mysterious stones from the Grand Canyon, a boy unleashes an ancient force that begins to terrorize his family.",92 min,Greg McLean,"Horror Movies, Thrillers",PG-13,2016,s6271,The Darkness,Movie
"Kevin Clash, Whoopi Goldberg",United States,2012,Qtr 1,February,21,"Whoopi Goldberg narrates Elmo creator Kevin Clash's remarkable journey from a working-class Baltimore neighborhood to Jim Henson's ""Sesame Street.""",76 min,Constance Marks,Documentaries,PG,2011,s819,Being Elmo: A Puppeteer's Journey,Movie
"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",United States,2020,Qtr 4,October,15,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.,77 min,Sam Liu,Action & Adventure,R,2016,s765,Batman: The Killing Joke,Movie
Kevin Costner,United States,2017,Qtr 1,February,1,"Featuring legendary and up-and-coming MMA fighters, this documentary details the history of the brutal sport and the fighters' struggles and triumphs.",111 min,Vlad Yudin,"Documentaries, Sports Movies",PG-13,2016,s6476,The Hurt Business,Movie
"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, TÃ³mas Lemarquis, Richard Sammel, Marc AndrÃ©oni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia",2020,Qtr 4,December,1,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him â€“ if he can survive its side effects.,117 min,McG,Action & Adventure,PG-13,2014,s97,3 Days to Kill,Movie
"Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews, Linden Ashby, Jeff Fahey, Joanna Going, Mark Harmon, Michael Madsen, Catherine O'Hara, Bill Pullman, Isabella Rossellini, Tom Sizemore",United States,2020,Qtr 1,January,1,"Legendary lawman Wyatt Earp is continually at odds with a gang of renegade cowboys, culminating in a fiery showdown with the outlaws at the OK Corral.",191 min,Lawrence Kasdan,Action & Adventure,PG-13,1994,s7682,Wyatt Earp,Movie
"Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Thomas Mann, Kim Dickens, W. Earl Brown, William Sadler",United States,2019,Qtr 1,March,29,Two steely former Texas Rangers are tasked with tracking and killing infamous criminals Bonnie and Clyde in this crime drama based on real events.,132 min,John Lee Hancock,Dramas,R,2019,s6452,The Highwaymen,Movie
Kevin Hart,United States,2018,Qtr 3,July,13,"Philadelphia funnyman Kevin Hart takes the stage in front of a sold-out crowd at Madison Square Garden, part of his hit ""Let Me Explain"" world tour.",75 min,"Leslie Small, Tim Story",Stand-Up Comedy,R,2013,s3345,Kevin Hart: Let Me Explain,Movie
Kevin Hart,United States,2018,Qtr 4,October,1,"Sometimes edgy and always hilarious, comedian Kevin Hart shines in this theatrical version of his record-breaking 2011 live tour.",89 min,"Leslie Small, Tim Story",Stand-Up Comedy,R,2011,s3344,Kevin Hart: Laugh at My Pain,Movie
Kevin Hart,United States,2018,Qtr 4,October,1,"With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance.",67 min,Shannon Hartman,Stand-Up Comedy,TV-MA,2010,s3346,Kevin Hart: Seriously Funny,Movie
Kevin Hart,United States,2019,Qtr 2,April,2,"As a father of three on his second marriage, Kevin Hart proves that being him is indeed a tall order in a fresh special inspired by his own mistakes.",60 min,Leslie Small,Stand-Up Comedy,TV-MA,2019,s3343,Kevin Hart: Irresponsible,Movie
Kevin Hart,United States,2020,Qtr 1,January,30,"Stand-up comedy star Kevin Hart delivers his unique perspective on work, race, family and friends with this laugh-riot comedy show.",62 min,Shannon Hartman,Stand-Up Comedy,TV-MA,2009,s3342,Kevin Hart: I'm a Grown Little Man,Movie
Kevin Hart,United States,2020,Qtr 4,November,17,"Kevin Hart serves up laughs and brick oven pizza from the comfort of his home, and dishes on male group chats, sex after 40 and life with COVID-19.",70 min,Leslie Small,Stand-Up Comedy,TV-MA,2020,s3348,Kevin Hart: Zero F**ks Given,Movie
"Kevin Hart, Don Cheadle, Halle Berry, Ed Helms, David Meunier",United States,2017,Qtr 2,April,11,"Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old.",96 min,Leslie Small,Stand-Up Comedy,R,2016,s3347,Kevin Hart: What Now?,Movie
"Kevin Hart, Saniyya Sidney, Lil Rel Howery, Eoghan Thomas Murphy, Tiffany Haddish, Al Shearer, Lonnie Chavis, Alphonso Mcauley, Nika Williams, Barry Brewer, Greg Germann, John Ennis, Jay Johnston",United States,2019,Qtr 1,February,8,Kevin Hart highlights the fascinating contributions of black historyâ€™s unsung heroes in this entertaining â€“ and educational â€“ comedy special.,63 min,Tom Stern,"Children & Family Movies, Comedies",TV-PG,2019,s3349,Kevin Hart's Guide to Black History,Movie
Kevin James,United States,2018,Qtr 2,April,24,"Kevin James makes his long-awaited return to stand-up in this family-friendly special, dishing on fatherhood, fans, his disdain for allergies and more.",62 min,Andy Fickman,Stand-Up Comedy,TV-PG,2018,s3350,Kevin James: Never Don't Give Up,Movie
Kevin James,United States,2019,Qtr 1,February,20,The film and television star riffs on life's many royal pains in this hourlong special taped at New York City's Hudson Theatre in 2001.,42 min,Paul Miller,Stand-Up Comedy,TV-PG,2001,s3351,Kevin James: Sweat the Small Stuff,Movie
"Kevin James, Andy Garcia, Zulay Henao, Maurice Compte, Kelen Coleman, Andrew Howard, Rob Riggle, Leonard Earl Howze, Yul Vazquez, Kim Coates, Daniel Zacapa, Ron Rifkin, Jeff Chase",United States,2016,Qtr 4,November,11,"After his publisher markets his crime novel as a memoir, a novice author finds himself forcibly recruited into a deadly political plot in Venezuela.",98 min,Jeff Wadlow,"Action & Adventure, Comedies",TV-14,2016,s7244,True Memoirs of an International Assassin,Movie
"Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez, Shirley Knight, Stephen Rannazzisi, Peter Gerety, Bobby Cannavale, Adam Ferrara, Jamal Mixon, Adhir Kalyan, Gary Valentine",United States,2020,Qtr 4,November,1,An overzealous security guard finds himself in over his head when he tries to thwart a criminal mastermind's plot to rob an entire shopping mall.,91 min,Steve Carr,"Action & Adventure, Comedies",PG,2009,s4800,Paul Blart: Mall Cop,Movie
"Kevin Makely, Bruce Dern, Mira Sorvino, Trace Adkins, Wes Studi, Tony Todd, Jeff Fahey, James Russo, Amanda Wyss",United States,2020,Qtr 1,March,26,A detective with a license to kill roams the Old West to wrangle Confederate war criminals and meets a pioneer woman who throws his journey off track.,117 min,Justin Lee,Dramas,TV-14,2019,s702,Badland,Movie
"Kevin Sorbo, Mollee Gray, Eric Roberts, Brian Bosworth, Julia Denton, Blake Burt, Marisa Lynae Hampton, Josh Murray, Kiera Strauss, Tyler Sanders",United States,2020,Qtr 2,April,28,"When a town suffers an economic collapse, social unrest forces a family to seek refuge in the wilderness as bitter outlaws threaten their survival.",116 min,Paul Munger,"Dramas, Faith & Spirituality",PG-13,2019,s6812,The Reliant,Movie
"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Benjamin A. Onyango, Paul Kwo, Hadeel Sittu, Trisha LaFache, Cory Oliver, Willie Robertson, Korie Robertson",United States,2020,Qtr 2,April,1,A spiritual college student clashes with an atheistic professor who insists that students will only pass his class by admitting that God is dead.,113 min,Harold Cronk,"Dramas, Faith & Spirituality",PG,2014,s2455,God's Not Dead,Movie
"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper, Peter Gallagher, Allison Janney, Scott Bakula, Sam Robards",United States,2020,Qtr 1,January,1,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",122 min,Sam Mendes,Dramas,R,1999,s456,American Beauty,Movie
"Kevyn Aucoin, Cindy Crawford, Naomi Campbell, Gwyneth Paltrow, Andie MacDowell, Paulina Porizkova, Amber Valletta",United States,2019,Qtr 1,January,1,Makeup artist Kevyn Aucoin worked with top supermodels in the 1980s and 1990s. Personal videos merged with interviews provide a peek into his life.,90 min,Lori Kaye,"Documentaries, LGBTQ Movies",TV-MA,2017,s3352,Kevyn Aucoin: Beauty & the Beast in Me,Movie
"Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson",United States,2020,Qtr 4,November,20,"A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth's gravity â€” and steal all the presents.",42 min,Stephen Chiodo,Children & Family Movies,TV-Y,2020,s400,Alien Xmas,Movie
"Khaled El Nabawy, Hanan Turk, Yousra, Mahmoud Hemeida, Safia el-Emari, Michel Piccoli, Ahmed Bedir","Egypt, France",2020,Qtr 2,June,19,Ram leaves the nomadic life and embarks on a quest for knowledge in a pharaonic Egypt mired in political intrigue. Based on a biblical story.,130 min,Youssef Chahine,"Dramas, International Movies",TV-14,1994,s6328,The Emigrant,Movie
"Khaled El Sawy, Khaled Saleh, Ruby",Egypt,2019,Qtr 2,June,6,"A street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor.",96 min,"Mohammed El-Tahawy, Mohamed Mostafa","Dramas, International Movies",TV-14,2013,s6926,The Thief and the Imbecile,Movie
"Khaled Saleh, Ghada Adel, Ahmed el-Sakka, Khaled Sarhan, Sawsan Badr, Mustafa Haridi",Egypt,2019,Qtr 2,April,25,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,114 min,Amr Arafa,"Comedies, International Movies, Thrillers",TV-14,2011,s6244,The Consul's Son,Movie
"Khalifa Albhri, Neven Madi, Talal Mahmood, Sawsan Saad, Fatma Hassan",United Arab Emirates,2020,Qtr 2,May,12,Drugs and addiction endanger the love â€” and lives â€” of two childhood sweethearts struggling to survive the perils of a precarious world.,106 min,Hussein El Ansary,"Dramas, International Movies, Romantic Movies",TV-14,2019,s385,Ali & Alia,Movie
"Khalil Everage, Anthony Anderson, Uzo Aduba, Emayatzy Corinealdi, Paul Walter Hauser, Dave East, Seandrea Sledge, Ashley Jackson, Megan Sousa",United States,2019,Qtr 2,June,19,"On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor.",110 min,Chris Robinson,"Dramas, Independent Movies, Music & Musicals",TV-MA,2019,s790,Beats,Movie
"Khalil Ramos, Vance Larena, Kelvin Miranda, Jan Silverio, Markus Paterson, Gabby Padilla, Sue Ramirez","Philippines, United States",2019,Qtr 4,December,1,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid â€“ until their kidnapping scheme turns deadly.,94 min,Mikhail Red,"Dramas, International Movies, Thrillers",TV-MA,2019,s1652,Dead Kids,Movie
"Kheiron, Catherine Deneuve, AndrÃ© Dussollier, Louison Blivet, Adil Dehbi, Hakou Benosmane, Youssouff Wague, Mahia Zrouki, Joseph Jovanovic","France, Belgium",2018,Qtr 4,December,21,"Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students.",105 min,Kheiron,"Comedies, Dramas, International Movies",TV-MA,2018,s698,Bad Seeds,Movie
"Khiyla Aynne, Noah Dyer, Maya Franzoi, Clara Kushnir, Madeline Leon, Liam MacDonald, Matt Schichter, Ethan Yang, Adam Crew",Canada,2017,Qtr 4,December,20,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.",84 min,"Marco Deufemia, Justin G. Dyck","Children & Family Movies, Comedies",TV-G,2017,s114,48 Christmas Wishes,Movie
"Khushboo Upadhyay, Rohit Kokate, Himanshu Kohli, Mohammed Shakir",India,2019,Qtr 3,August,9,"A coupleâ€™s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",107 min,Aadish Keluskar,"Dramas, Independent Movies, International Movies",TV-MA,2018,s3125,Jaoon Kahan Bata Ae Dil,Movie
"Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar",India,2020,Qtr 1,March,6,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",120 min,Ruchi Narain,"Dramas, International Movies",TV-MA,2020,s2550,Guilty,Movie
"Kiersey Clemons, Emory Cohen, Hanna Mangan Lawrence, Andrew Crawford, Benedict Samuel",United States,2019,Qtr 4,December,25,A woman shipwrecked on a remote island discovers sheâ€™s not alone and begins a fight for survival against a deadly presence that emerges each night.,83 min,J.D. Dillard,"Horror Movies, Sci-Fi & Fantasy, Thrillers",PG-13,2019,s5941,Sweetheart,Movie
"Kika MagalhÃ£es, Olivia Bond, Will Brill, Flora Diaz, Paul Nazak, Clara Wong, Diana Agostini",United States,2017,Qtr 2,April,6,"At the remote farmhouse where she once witnessed a traumatic childhood event, a young woman develops a grisly fascination with violence.",76 min,Nicolas Pesce,"Horror Movies, Independent Movies",R,2016,s6341,The Eyes of My Mother,Movie
